sample_name,consensus_cluster,reference_cluster,reference_color,broad_class,subclass,merged_cluster_smFISH,merged_cluster_ISS
LS-15368_S96_E1-50,cl27_e121_Gadd45a_L6_CT,VISp L6 CT Dlx4,#74CAFF,Ex,L6 PT,L6 PT,VISp L6 CT Dlx4
LS-15369_S34_E1-50,cl88_i60_NA_Lamp5,Lamp5 Pdlim5,#FF7290,Inh,Lamp5,Lamp5_2,Lamp5 Pdlim5
LS-15369_S35_E1-50,cl50_i90_Agt_Lamp5,Lamp5 Egln3_2,#E67B73,Inh,Lamp5,Lamp5_1,Lamp5 Egln3_a
LS-15369_S36_E1-50,cl138_i41_Has2_Lamp5,Lamp5 Pdlim5,#FF7290,Inh,Lamp5,Lamp5_2,Lamp5 Pdlim5
LS-15369_S37_E1-50,cl114_i47_Tbc1d2b_Lamp5,Lamp5 Slc35d3,#FFA388,Inh,Lamp5,Lamp5_2,Lamp5 Slc35d3
LS-15369_S38_E1-50,cl65_i72_Tmem223_Lamp5,Lamp5 Egln3_3,#DD6091,Inh,Lamp5,Lamp5_1,Lamp5 Egln3_b
LS-15369_S39_E1-50,cl138_i41_Has2_Lamp5,Lamp5 Pdlim5,#FF7290,Inh,Lamp5,Lamp5_2,Lamp5 Pdlim5
LS-15369_S40_E1-50,cl50_i90_Agt_Lamp5,Lamp5 Egln3_2,#E67B73,Inh,Lamp5,Lamp5_1,Lamp5 Egln3_a
LS-15369_S51_E1-50,cl88_i60_NA_Lamp5,Lamp5 Pdlim5,#FF7290,Inh,Lamp5,Lamp5_2,Lamp5 Pdlim5
LS-15369_S52_E1-50,cl50_i90_Agt_Lamp5,Lamp5 Egln3_2,#E67B73,Inh,Lamp5,Lamp5_1,Lamp5 Egln3_a
LS-15369_S53_E1-50,cl41_n102_Selplg_Macrophage,Micro Siglech,#598069,Glia,Macrophage,Macrophage,Micro Siglech
LS-15369_S54_E1-50,cl12_i155_Crabp1_Sncg,Sncg Ptprk,#9900B3,Inh,Sncg,Sncg_2,Sncg Ptprk
LS-15369_S55_E1-50,cl77_n66_Rlbp1_Oligo,OPC Pdgfra,#476655,Glia,Oligo,Oligo,OPC Pdgfra
LS-15369_S56_E1-50,cl95_i57_Atp12a_Lamp5,Lamp5 Slc35d3,#FFA388,Inh,Lamp5,Lamp5_2,Lamp5 Slc35d3
LS-15369_S57_E1-50,cl12_i155_Crabp1_Sncg,Sncg Crispld2 ,#7A0099,Inh,Sncg,Sncg_2,Sncg Ptprk
LS-15369_S58_E1-50,cl137_i41_NA_Lamp5,Lamp5 Pdlim5,#FF7290,Inh,Lamp5,Lamp5_2,Lamp5 Pdlim5
