sample_name,consensus_cluster,reference_cluster,reference_color,broad_class,subclass,merged_cluster_smFISH,merged_cluster_ISS
LS-14690_S05_E1-50,cl108_e49_NA_L4,VISp L4 Rspo1,#00979D,Ex,L4,L4,VISp L4 Rspo1
LS-14690_S07_E1-50,cl1_e421_Cst3_L4,VISp L4 Rspo1,#00979D,Ex,L4,L4,VISp L4 Rspo1
LS-14690_S08_E1-50,cl163_e33_Nxf7_L4,VISp L4 Rspo1,#00979D,Ex,L4,L4,VISp L4 Rspo1
LS-14690_S09_E1-50,cl1_e421_Cst3_L4,VISp L4 Rspo1,#00979D,Ex,L4,L4,VISp L4 Rspo1
LS-14690_S10_E1-50,cl5_i231_Nov_Vip,Vip Htr1f,#FF4DC1,Inh,Vip,Vip_3,Vip Htr1f
LS-14690_S12_E1-50,cl108_e49_NA_L4,VISp L4 Rspo1,#00979D,Ex,L4,L4,VISp L4 Rspo1
LS-14690_S15_E1-50,cl1_e421_Cst3_L4,VISp L4 Rspo1,#00979D,Ex,L4,L4,VISp L4 Rspo1
LS-14690_S16_E1-50,cl151_i35_Gpr63_Lamp5,Lamp5 Slc35d3,#FFA388,Inh,Lamp5,Lamp5_2,Lamp5 Slc35d3
LS-14690_S17_E1-50,cl70_e70_Abca12_L5_NP,VISp L5 NP Rapgef3,#008F39,Ex,L5 NP,L5 NP,VISp L5 NP Rapgef3
LS-14690_S18_E1-50,cl97_i57_Pdyn_Sst,Sst Hpse_1,#BF9F00,Inh,Sst,Sst_3,Sst Hpse_a
LS-14690_S19_E1-50,cl198_i24_Bard1_Vip,Vip C1ql1,#BD3D9A,Inh,Vip,Vip_3,Vip C1ql1
LS-14690_S20_E1-50,cl1008_e40_NA_L5_IT,VISp L5 IT Col6a1,#00FF00,Ex,L5 IT,L5 IT,VISp L5 IT Pld5
LS-14690_S21_E1-50,cl132_i43_Fbn1_Vip,Vip C1ql1,#BD3D9A,Inh,Vip,Vip_3,Vip C1ql1
LS-14690_S22_E1-50,cl5_i231_Nov_Vip,Vip Htr1f,#FF4DC1,Inh,Vip,Vip_3,Vip Htr1f
LS-14690_S24_E1-50,cl132_i43_Fbn1_Vip,Vip C1ql1,#BD3D9A,Inh,Vip,Vip_3,Vip C1ql1
LS-14690_S26_E1-50,cl38_e104_Chn2_L5_NP,VISp L5 NP Slc17a8,#73CA95,Ex,L5 NP,L5 NP,VISp L5 NP Slc17a8
LS-14690_S27_E1-50,cl1011_n13_Enpp6_Oligo,Oligo Enpp6,#6B998D,Glia,Oligo,Oligo,Oligo Enpp6
LS-14690_S30_E1-50,cl70_e70_Abca12_L5_NP,VISp L5 NP Rapgef3,#008F39,Ex,L5 NP,L5 NP,VISp L5 NP Rapgef3
LS-14690_S32_E1-50,cl97_i57_Pdyn_Sst,Sst Hpse_1,#BF9F00,Inh,Sst,Sst_3,Sst Hpse_a
LS-14690_S34_E1-50,cl106_e50_Dlc1_L6_CT,VISp L6 CT Dlx4,#74CAFF,Ex,L6 PT,L6 PT,VISp L6 CT Dlx4
LS-14690_S36_E1-50,cl126_e44_Traf5_L6_CT,VISp L6 CT Dlx4,#74CAFF,Ex,L6 PT,L6 PT,VISp L6 CT Dlx4
LS-14690_S37_E1-50,cl151_i35_Gpr63_Lamp5,Lamp5 Slc35d3,#FFA388,Inh,Lamp5,Lamp5_2,Lamp5 Slc35d3
LS-14690_S39_E1-50,cl70_e70_Abca12_L5_NP,VISp L5 NP Rapgef3,#008F39,Ex,L5 NP,L5 NP,VISp L5 NP Rapgef3
LS-14690_S41_E1-50,cl112_e48_Slc22a1_L6_IT,VISp L6 IT Marcksl1,#96E32C,Ex,L6 IT,L6 IT_1,VISp L6 IT Marcksl1
LS-14690_S42_E1-50,cl61_e77_Mir221_L6_IT,VISp L6 IT Col23a1,#C2E32C,Ex,L6 IT,L6 IT_1,VISp L6 IT Col23a1
LS-14690_S44_E1-50,cl8_e168_Adam8_L6_IT,VISp L6 IT Col23a1,#C2E32C,Ex,L6 IT,L6 IT_1,VISp L6 IT Col23a1
LS-14690_S45_E1-50,cl32_n118_Opalin_Oligo,Oligo Opalin,#476662,Glia,Oligo,Oligo,Oligo Opalin
LS-14690_S57_E1-50,cl151_i35_Gpr63_Lamp5,Lamp5 Slc35d3,#FFA388,Inh,Lamp5,Lamp5_2,Lamp5 Slc35d3
LS-14690_S58_E1-50,cl132_i43_Fbn1_Vip,Vip C1ql1,#BD3D9A,Inh,Vip,Vip_3,Vip C1ql1
LS-14690_S59_E1-50,cl84_i62_NA_Lamp5,Lamp5 Egln3_3,#DD6091,Inh,Lamp5,Lamp5_1,Lamp5 Egln3_c
LS-14690_S60_E1-50,cl26_i124_Ccser1_Vip,Vip Igfbp6,#7779BF,Inh,Vip,Vip_1,Vip Igfbp6
LS-14690_S62_E1-50,cl84_i62_NA_Lamp5,Lamp5 Egln3_3,#DD6091,Inh,Lamp5,Lamp5_1,Lamp5 Egln3_c
LS-14690_S63_E1-50,cl114_i47_Tbc1d2b_Lamp5,Lamp5 Slc35d3,#FFA388,Inh,Lamp5,Lamp5_2,Lamp5 Slc35d3
LS-14690_S66_E1-50,cl26_i124_Ccser1_Vip,Vip Igfbp6,#7779BF,Inh,Vip,Vip_1,Vip Igfbp6
LS-14690_S69_E1-50,cl151_i35_Gpr63_Lamp5,Lamp5 Slc35d3,#FFA388,Inh,Lamp5,Lamp5_2,Lamp5 Slc35d3
LS-14690_S71_E1-50,cl26_i124_Ccser1_Vip,Vip Igfbp6,#7779BF,Inh,Vip,Vip_1,Vip Igfbp6
LS-14690_S75_E1-50,cl151_i35_Gpr63_Lamp5,Lamp5 Slc35d3,#FFA388,Inh,Lamp5,Lamp5_2,Lamp5 Slc35d3
LS-14690_S76_E1-50,cl151_i35_Gpr63_Lamp5,Lamp5 Slc35d3,#FFA388,Inh,Lamp5,Lamp5_2,Lamp5 Slc35d3
LS-14690_S77_E1-50,cl54_i85_Thbs3_Vip,Vip Lmo1_2,#756FB3,Inh,Vip,Vip_4,Vip Lmo1_a
LS-14690_S78_E1-50,cl26_i124_Ccser1_Vip,Vip Igfbp6,#7779BF,Inh,Vip,Vip_1,Vip Igfbp6
LS-14690_S80_E1-50,cl26_i124_Ccser1_Vip,Vip Igfbp6,#7779BF,Inh,Vip,Vip_1,Vip Igfbp6
LS-14690_S81_E1-50,cl63_i73_Tac2_Vip,Vip Crispld2_2,#992E81,Inh,Vip,Vip_2,Vip Crispld2_a
LS-14690_S85_E1-50,cl84_i62_NA_Lamp5,Lamp5 Egln3_3,#DD6091,Inh,Lamp5,Lamp5_1,Lamp5 Egln3_c
LS-14690_S86_E1-50,cl84_i62_NA_Lamp5,Lamp5 Egln3_3,#DD6091,Inh,Lamp5,Lamp5_1,Lamp5 Egln3_c
LS-14690_S88_E1-50,cl84_i62_NA_Lamp5,Lamp5 Egln3_3,#DD6091,Inh,Lamp5,Lamp5_1,Lamp5 Egln3_c
LS-14690_S89_E1-50,cl63_i73_Tac2_Vip,Vip Crispld2_2,#992E81,Inh,Vip,Vip_2,Vip Crispld2_a
LS-14690_S90_E1-50,cl72_i68_Bach2_Lamp5,Lamp5 Pdlim5,#FF7290,Inh,Lamp5,Lamp5_2,Lamp5 Pdlim5
LS-14690_S93_E1-50,cl12_i155_Crabp1_Sncg,Sncg Crispld2 ,#7A0099,Inh,Sncg,Sncg_2,Sncg Ptprk
LS-14690_S95_E1-50,cl72_i68_Bach2_Lamp5,Lamp5 Pdlim5,#FF7290,Inh,Lamp5,Lamp5_2,Lamp5 Pdlim5
LS-14690_S96_E1-50,cl151_i35_Gpr63_Lamp5,Lamp5 Slc35d3,#FFA388,Inh,Lamp5,Lamp5_2,Lamp5 Slc35d3
LS-14692_S03_E1-50,cl1_e421_Cst3_L4,VISp L4 Rspo1,#00979D,Ex,L4,L4,VISp L4 Rspo1
LS-14692_S04_E1-50,cl1_e421_Cst3_L4,VISp L4 Rspo1,#00979D,Ex,L4,L4,VISp L4 Rspo1
LS-14692_S05_E1-50,cl1_e421_Cst3_L4,VISp L4 Rspo1,#00979D,Ex,L4,L4,VISp L4 Rspo1
LS-14692_S06_E1-50,cl145_e37_Zfat_L4,VISp L4 Rspo1,#00979D,Ex,L4,L4,VISp L4 Rspo1
LS-14692_S10_E1-50,cl148_e36_Mmel1_L4,VISp L4 Rspo1,#00979D,Ex,L4,L4,VISp L4 Rspo1
LS-14692_S14_E1-50,cl145_e37_Zfat_L4,VISp L4 Rspo1,#00979D,Ex,L4,L4,VISp L4 Rspo1
LS-14692_S18_E1-50,cl40_i103_Il7_Pvalb,Pvalb Gabrg1,#ED4C50,Inh,Pvalb,Pvalb_2,Pvalb Gabrg1
LS-14692_S20_E1-50,cl150_e36_Car3_L6_IT,VISp L6 IT Car3,#5100FF,Ex,L6 IT,L6 IT_2,VISp L6 IT Car3
LS-14692_S22_E1-50,cl32_n118_Opalin_Oligo,Oligo Opalin,#476662,Glia,Oligo,Oligo,Oligo Opalin
LS-14692_S23_E1-50,cl70_e70_Abca12_L5_NP,VISp L5 NP Rapgef3,#008F39,Ex,L5 NP,L5 NP,VISp L5 NP Rapgef3
LS-14692_S24_E1-50,cl38_e104_Chn2_L5_NP,VISp L5 NP Slc17a8,#73CA95,Ex,L5 NP,L5 NP,VISp L5 NP Slc17a8
LS-14692_S36_E1-50,cl84_i62_NA_Lamp5,Lamp5 Egln3_3,#DD6091,Inh,Lamp5,Lamp5_1,Lamp5 Egln3_c
LS-14692_S38_E1-50,cl151_i35_Gpr63_Lamp5,Lamp5 Slc35d3,#FFA388,Inh,Lamp5,Lamp5_2,Lamp5 Slc35d3
LS-14692_S42_E1-50,cl10_i163_Tacstd2_Sst,Sst C1ql3,#802600,Inh,Sst,Sst_1,Sst C1ql3
LS-14692_S44_E1-50,cl40_i103_Il7_Pvalb,Pvalb Gabrg1,#ED4C50,Inh,Pvalb,Pvalb_2,Pvalb Gabrg1
LS-14692_S45_E1-50,cl9_i166_Tll1_Pvalb,Pvalb Reln,#D6221D,Inh,Pvalb,Pvalb_3,Pvalb Reln_b
LS-14692_S50_E1-50,cl22_i134_Esrrg_Pvalb,Pvalb Reln,#D6221D,Inh,Pvalb,Pvalb_3,Pvalb Reln_a
LS-14692_S51_E1-50,cl26_i124_Ccser1_Vip,Vip Igfbp6,#7779BF,Inh,Vip,Vip_1,Vip Igfbp6
LS-14692_S52_E1-50,cl10_i163_Tacstd2_Sst,Sst C1ql3,#802600,Inh,Sst,Sst_1,Sst C1ql3
LS-14692_S53_E1-50,cl119_i46_Ccdc38_Pvalb,Pvalb Reln,#D6221D,Inh,Pvalb,Pvalb_3,Pvalb Reln_a
LS-14692_S55_E1-50,cl151_i35_Gpr63_Lamp5,Lamp5 Slc35d3,#FFA388,Inh,Lamp5,Lamp5_2,Lamp5 Slc35d3
LS-14692_S57_E1-50,cl1007_i56_NA_Pvalb,Pvalb Th,#FF2F7E,Inh,Pvalb,Pvalb_2,Pvalb Th
LS-14692_S59_E1-50,cl185_i27_Slc4a7_Pvalb,Pvalb Calb1,#BC2B11,Inh,Pvalb,Pvalb_3,Pvalb Calb1
LS-14692_S60_E1-50,cl185_i27_Slc4a7_Pvalb,Pvalb Calb1,#BC2B11,Inh,Pvalb,Pvalb_3,Pvalb Calb1
LS-14692_S61_E1-50,cl151_i35_Gpr63_Lamp5,Lamp5 Slc35d3,#FFA388,Inh,Lamp5,Lamp5_2,Lamp5 Slc35d3
LS-14692_S62_E1-50,cl151_i35_Gpr63_Lamp5,Lamp5 Slc35d3,#FFA388,Inh,Lamp5,Lamp5_2,Lamp5 Slc35d3
LS-14692_S63_E1-50,cl1005_i24_Pcdhb20_Sst,Sst Etv1_2,#FFBB33,Inh,Sst,Sst_3,Sst Etv1_a
LS-14692_S64_E1-50,cl1004_i65_NA_Sst,Sst Myh8_Etv1,#FFDF11,Inh,Sst,Sst_2,Sst Myh8_a
LS-14692_S68_E1-50,cl1004_i65_NA_Sst,Sst Myh8_Etv1,#FFDF11,Inh,Sst,Sst_2,Sst Myh8_a
LS-14692_S72_E1-50,cl58_i81_Tmem255a_Sst,Sst Crhr2_1,#C11331,Inh,Sst,Sst_2,Sst Crhr2
LS-14692_S73_E1-50,cl1007_i56_NA_Pvalb,Pvalb Th,#FF2F7E,Inh,Pvalb,Pvalb_2,Pvalb Th
LS-14692_S74_E1-50,cl85_i60_Snai2_Lamp5,Lamp5 Lhx6,#C77963,Inh,Lamp5,Lamp5_2,Lamp5 Lhx6
LS-14692_S75_E1-50,cl1005_i24_Pcdhb20_Sst,Sst Etv1_2,#FFBB33,Inh,Sst,Sst_3,Sst Etv1_a
LS-14692_S76_E1-50,cl58_i81_Tmem255a_Sst,Sst Crhr2_1,#C11331,Inh,Sst,Sst_2,Sst Crhr2
LS-14692_S77_E1-50,cl29_i121_Acbd7_Sst,Sst Chodl,#FFFF00,Inh,Sst,Sst_4,Sst Chodl_a
LS-14692_S78_E1-50,cl32_n118_Opalin_Oligo,Oligo Opalin,#476662,Glia,Oligo,Oligo,Oligo Opalin
LS-14692_S79_E1-50,cl1002_i29_Nts_Sst,Sst Nts,#A81111,Inh,Sst,Sst_2,Sst Nts
LS-14692_S82_E1-50,cl12_i155_Crabp1_Sncg,Sncg Ptprk,#9900B3,Inh,Sncg,Sncg_2,Sncg Ptprk
LS-14692_S83_E1-50,cl72_i68_Bach2_Lamp5,Lamp5 Pdlim5,#FF7290,Inh,Lamp5,Lamp5_2,Lamp5 Pdlim5
LS-14692_S84_E1-50,cl12_i155_Crabp1_Sncg,Sncg Ptprk,#9900B3,Inh,Sncg,Sncg_2,Sncg Ptprk
LS-14692_S85_E1-50,cl52_i88_TrnI_Pvalb,Pvalb Vipr2,#FF197F,Inh,Pvalb,Pvalb_1,Pvalb Vipr2
LS-14692_S86_E1-50,cl113_i48_Dock5_Lamp5,Lamp5 Pdlim5,#FF7290,Inh,Lamp5,Lamp5_2,Lamp5 Pdlim5
LS-14692_S87_E1-50,cl113_i48_Dock5_Lamp5,Lamp5 Pdlim5,#FF7290,Inh,Lamp5,Lamp5_2,Lamp5 Pdlim5
LS-14692_S89_E1-50,cl84_i62_NA_Lamp5,Lamp5 Egln3_3,#DD6091,Inh,Lamp5,Lamp5_1,Lamp5 Egln3_c
LS-14692_S91_E1-50,cl93_i58_Sln_Lamp5,Lamp5 Pax6,#DDACC9,Inh,Lamp5,Lamp5_1,Lamp5 Pax6
LS-14692_S93_E1-50,cl3_i309_Cpne6_Lamp5,Lamp5 Slc35d3,#FFA388,Inh,Lamp5,Lamp5_2,Lamp5 Slc35d3
LS-14692_S94_E1-50,cl84_i62_NA_Lamp5,Lamp5 Egln3_3,#DD6091,Inh,Lamp5,Lamp5_1,Lamp5 Egln3_c
LS-14692_S95_E1-50,cl72_i68_Bach2_Lamp5,Lamp5 Pdlim5,#FF7290,Inh,Lamp5,Lamp5_2,Lamp5 Pdlim5
LS-14696_S02_E1-50,cl84_i62_NA_Lamp5,Lamp5 Egln3_3,#DD6091,Inh,Lamp5,Lamp5_1,Lamp5 Egln3_c
LS-14696_S04_E1-50,cl170_i32_Rps27rt_Vip,Vip Igfbp6,#7779BF,Inh,Vip,Vip_1,Vip Igfbp6
LS-14696_S05_E1-50,cl97_i57_Pdyn_Sst,Sst Hpse_1,#BF9F00,Inh,Sst,Sst_3,Sst Hpse_a
LS-14696_S07_E1-50,cl26_i124_Ccser1_Vip,Vip Igfbp6,#7779BF,Inh,Vip,Vip_1,Vip Igfbp6
LS-14696_S13_E1-50,cl10_i163_Tacstd2_Sst,Sst C1ql3,#802600,Inh,Sst,Sst_1,Sst C1ql3
LS-14696_S14_E1-50,cl107_i50_Gpr101_Sst,Sst Myh8_1,#FF8011,Inh,Sst,Sst_2,Sst Myh8_b
LS-14696_S25_E1-50,cl151_i35_Gpr63_Lamp5,Lamp5 Slc35d3,#FFA388,Inh,Lamp5,Lamp5_2,Lamp5 Slc35d3
LS-14696_S26_E1-50,cl85_i60_Snai2_Lamp5,Lamp5 Lhx6,#C77963,Inh,Lamp5,Lamp5_2,Lamp5 Lhx6
LS-14696_S27_E1-50,cl1007_i56_NA_Pvalb,Pvalb Th,#FF2F7E,Inh,Pvalb,Pvalb_2,Pvalb Th
LS-14696_S28_E1-50,cl147_i37_Clrn1_Sncg,Vip Serpinf1,#A700FF,Inh,Sncg,Sncg_1,Vip Serpinf1
LS-14696_S29_E1-50,cl151_i35_Gpr63_Lamp5,Lamp5 Slc35d3,#FFA388,Inh,Lamp5,Lamp5_2,Lamp5 Slc35d3
LS-14696_S30_E1-50,cl72_i68_Bach2_Lamp5,Lamp5 Pdlim5,#FF7290,Inh,Lamp5,Lamp5_2,Lamp5 Pdlim5
LS-14696_S31_E1-50,cl5_i231_Nov_Vip,Vip Htr1f,#FF4DC1,Inh,Vip,Vip_3,Vip Htr1f
LS-14696_S34_E1-50,cl197_e24_Cfap54_L23_IT,VISp L2/3 IT Agmat,#7AE6AB,Ex,L2/3 IT,L2/3 IT,VISp L2/3 IT Agmat
LS-14696_S35_E1-50,cl181_e28_Nfkbid_L23_IT,VISp L2/3 IT Agmat,#7AE6AB,Ex,L2/3 IT,L2/3 IT,VISp L2/3 IT Agmat
LS-14696_S36_E1-50,cl197_e24_Cfap54_L23_IT,VISp L2/3 IT Agmat,#7AE6AB,Ex,L2/3 IT,L2/3 IT,VISp L2/3 IT Agmat
LS-14696_S37_E1-50,cl197_e24_Cfap54_L23_IT,VISp L2/3 IT Agmat,#7AE6AB,Ex,L2/3 IT,L2/3 IT,VISp L2/3 IT Agmat
LS-14696_S38_E1-50,cl197_e24_Cfap54_L23_IT,VISp L2/3 IT Agmat,#7AE6AB,Ex,L2/3 IT,L2/3 IT,VISp L2/3 IT Agmat
LS-14696_S39_E1-50,cl151_i35_Gpr63_Lamp5,Lamp5 Slc35d3,#FFA388,Inh,Lamp5,Lamp5_2,Lamp5 Slc35d3
LS-14696_S40_E1-50,cl197_e24_Cfap54_L23_IT,VISp L2/3 IT Agmat,#7AE6AB,Ex,L2/3 IT,L2/3 IT,VISp L2/3 IT Agmat
LS-14696_S41_E1-50,cl6_e204_Exosc4_L23_IT,VISp L2/3 IT Agmat,#7AE6AB,Ex,L2/3 IT,L2/3 IT,VISp L2/3 IT Agmat
LS-14696_S44_E1-50,cl197_e24_Cfap54_L23_IT,VISp L2/3 IT Agmat,#7AE6AB,Ex,L2/3 IT,L2/3 IT,VISp L2/3 IT Agmat
LS-14696_S45_E1-50,cl71_e68_Mir153_L23_IT,VISp L2/3 IT Cdh13_1,#D9F077,Ex,L2/3 IT,L2/3 IT,VISp L2/3 IT Cdh13_a
LS-14696_S47_E1-50,cl197_e24_Cfap54_L23_IT,VISp L2/3 IT Agmat,#7AE6AB,Ex,L2/3 IT,L2/3 IT,VISp L2/3 IT Agmat
LS-14696_S48_E1-50,cl197_e24_Cfap54_L23_IT,VISp L2/3 IT Agmat,#7AE6AB,Ex,L2/3 IT,L2/3 IT,VISp L2/3 IT Agmat
LS-14696_S52_E1-50,cl108_e49_NA_L4,VISp L4 Rspo1,#00979D,Ex,L4,L4,VISp L4 Rspo1
LS-14696_S53_E1-50,cl1_e421_Cst3_L4,VISp L4 Rspo1,#00979D,Ex,L4,L4,VISp L4 Rspo1
LS-14696_S54_E1-50,cl1_e421_Cst3_L4,VISp L4 Rspo1,#00979D,Ex,L4,L4,VISp L4 Rspo1
LS-14696_S55_E1-50,cl1_e421_Cst3_L4,VISp L4 Rspo1,#00979D,Ex,L4,L4,VISp L4 Rspo1
LS-14696_S56_E1-50,cl1_e421_Cst3_L4,VISp L4 Rspo1,#00979D,Ex,L4,L4,VISp L4 Rspo1
LS-14696_S61_E1-50,cl1_e421_Cst3_L4,VISp L4 Rspo1,#00979D,Ex,L4,L4,VISp L4 Rspo1
LS-14696_S63_E1-50,cl1_e421_Cst3_L4,VISp L4 Rspo1,#00979D,Ex,L4,L4,VISp L4 Rspo1
LS-14696_S64_E1-50,cl108_e49_NA_L4,VISp L4 Rspo1,#00979D,Ex,L4,L4,VISp L4 Rspo1
LS-14696_S70_E1-50,cl38_e104_Chn2_L5_NP,VISp L5 NP Slc17a8,#73CA95,Ex,L5 NP,L5 NP,VISp L5 NP Slc17a8
LS-14696_S71_E1-50,cl151_i35_Gpr63_Lamp5,Lamp5 Slc35d3,#FFA388,Inh,Lamp5,Lamp5_2,Lamp5 Slc35d3
LS-14696_S73_E1-50,cl35_i106_Bcl9_Sst,Sst Etv1_3,#BF480D,Inh,Sst,Sst_3,Sst Etv1_a
LS-14696_S76_E1-50,cl70_e70_Abca12_L5_NP,VISp L5 NP Rapgef3,#008F39,Ex,L5 NP,L5 NP,VISp L5 NP Rapgef3
LS-14696_S78_E1-50,cl120_i46_Cers6_Sst,Sst Myh8_2,#FF9F2C,Inh,Sst,Sst_2,Sst Myh8_a
LS-14696_S79_E1-50,cl78_e65_NA_L5_IT,VISp L5 Endou,#00DDC5,Ex,L5 IT,L5 IT,VISp L5 Endou
LS-14696_S81_E1-50,cl106_e50_Dlc1_L6_CT,VISp L6 CT Dlx4,#74CAFF,Ex,L6 PT,L6 PT,VISp L6 CT Dlx4
LS-14696_S82_E1-50,cl106_e50_Dlc1_L6_CT,VISp L6 CT Dlx4,#74CAFF,Ex,L6 PT,L6 PT,VISp L6 CT Dlx4
LS-14696_S88_E1-50,cl112_e48_Slc22a1_L6_IT,VISp L6 IT Marcksl1,#96E32C,Ex,L6 IT,L6 IT_1,VISp L6 IT Marcksl1
LS-14696_S89_E1-50,cl106_e50_Dlc1_L6_CT,VISp L6 CT Dlx4,#74CAFF,Ex,L6 PT,L6 PT,VISp L6 CT Dlx4
LS-14696_S93_E1-50,cl106_e50_Dlc1_L6_CT,VISp L6 CT Dlx4,#74CAFF,Ex,L6 PT,L6 PT,VISp L6 CT Dlx4
LS-15000_S12_E1-50,cl106_e50_Dlc1_L6_CT,VISp L6 CT Dlx4,#74CAFF,Ex,L6 PT,L6 PT,VISp L6 CT Dlx4
LS-15000_S13_E1-50,cl106_e50_Dlc1_L6_CT,VISp L6 CT Dlx4,#74CAFF,Ex,L6 PT,L6 PT,VISp L6 CT Dlx4
LS-15000_S17_E1-50,cl8_e168_Adam8_L6_IT,VISp L6 IT Col23a1,#C2E32C,Ex,L6 IT,L6 IT_1,VISp L6 IT Col23a1
LS-15000_S19_E1-50,cl1002_i29_Nts_Sst,Sst Nts,#A81111,Inh,Sst,Sst_2,Sst Nts
LS-15000_S27_E1-50,cl106_e50_Dlc1_L6_CT,VISp L6 CT Dlx4,#74CAFF,Ex,L6 PT,L6 PT,VISp L6 CT Dlx4
LS-15000_S30_E1-50,cl106_e50_Dlc1_L6_CT,VISp L6 CT Dlx4,#74CAFF,Ex,L6 PT,L6 PT,VISp L6 CT Dlx4
LS-15000_S31_E1-50,cl10_i163_Tacstd2_Sst,Sst C1ql3,#802600,Inh,Sst,Sst_1,Sst C1ql3
LS-15000_S35_E1-50,cl151_i35_Gpr63_Lamp5,Lamp5 Slc35d3,#FFA388,Inh,Lamp5,Lamp5_2,Lamp5 Slc35d3
LS-15000_S38_E1-50,cl147_i37_Clrn1_Sncg,Vip Serpinf1,#A700FF,Inh,Sncg,Sncg_1,Vip Serpinf1
LS-15000_S40_E1-50,cl10_i163_Tacstd2_Sst,Sst C1ql3,#802600,Inh,Sst,Sst_1,Sst C1ql3
LS-15000_S41_E1-50,cl54_i85_Thbs3_Vip,Vip Lmo1_2,#756FB3,Inh,Vip,Vip_4,Vip Lmo1_a
LS-15000_S44_E1-50,cl151_i35_Gpr63_Lamp5,Lamp5 Slc35d3,#FFA388,Inh,Lamp5,Lamp5_2,Lamp5 Slc35d3
LS-15000_S45_E1-50,cl35_i106_Bcl9_Sst,Sst Etv1_3,#BF480D,Inh,Sst,Sst_3,Sst Etv1_a
LS-15000_S48_E1-50,cl22_i134_Esrrg_Pvalb,Pvalb Reln,#D6221D,Inh,Pvalb,Pvalb_3,Pvalb Reln_a
LS-15000_S49_E1-50,cl213_i22_Dnhd1_Pvalb,Pvalb Reln,#D6221D,Inh,Pvalb,Pvalb_3,Pvalb Reln_a
LS-15000_S50_E1-50,cl58_i81_Tmem255a_Sst,Sst Crhr2_1,#C11331,Inh,Sst,Sst_2,Sst Crhr2
LS-15000_S51_E1-50,cl1006_i68_Hpse_Sst,Sst Hpse_2,#806B19,Inh,Sst,Sst_3,Sst Hpse_b
LS-15000_S52_E1-50,cl151_i35_Gpr63_Lamp5,Lamp5 Slc35d3,#FFA388,Inh,Lamp5,Lamp5_2,Lamp5 Slc35d3
LS-15000_S55_E1-50,cl97_i57_Pdyn_Sst,Sst Hpse_1,#BF9F00,Inh,Sst,Sst_3,Sst Hpse_a
LS-15000_S59_E1-50,cl1002_i29_Nts_Sst,Sst Nts,#A81111,Inh,Sst,Sst_2,Sst Nts
LS-15000_S60_E1-50,cl10_i163_Tacstd2_Sst,Sst C1ql3,#802600,Inh,Sst,Sst_1,Sst C1ql3
LS-15000_S61_E1-50,cl10_i163_Tacstd2_Sst,Sst C1ql3,#802600,Inh,Sst,Sst_1,Sst C1ql3
LS-15000_S65_E1-50,cl113_i48_Dock5_Lamp5,Lamp5 Pdlim5,#FF7290,Inh,Lamp5,Lamp5_2,Lamp5 Pdlim5
LS-15000_S67_E1-50,cl116_n47_Lgr6_Astro,Astro Aqp4,#665C47,Glia,Astro,Astro,Astro Aqp4_b
LS-15000_S68_E1-50,cl16_n148_Cml3_Astro,Astro Aqp4,#665C47,Glia,Astro,Astro,Astro Aqp4_b
LS-15000_S69_E1-50,cl26_i124_Ccser1_Vip,Vip Igfbp6,#7779BF,Inh,Vip,Vip_1,Vip Igfbp6
LS-15000_S70_E1-50,cl72_i68_Bach2_Lamp5,Lamp5 Pdlim5,#FF7290,Inh,Lamp5,Lamp5_2,Lamp5 Pdlim5
LS-15000_S75_E1-50,cl177_n30_Slc8b1_Astro,Astro Aqp4,#665C47,Glia,Astro,Astro,Astro Aqp4_b
LS-15000_S78_E1-50,cl50_i90_Agt_Lamp5,Lamp5 Egln3_2,#E67B73,Inh,Lamp5,Lamp5_1,Lamp5 Egln3_a
LS-15000_S79_E1-50,cl12_i155_Crabp1_Sncg,Sncg Ptprk,#9900B3,Inh,Sncg,Sncg_2,Sncg Ptprk
LS-15000_S80_E1-50,cl12_i155_Crabp1_Sncg,Sncg Crispld2 ,#7A0099,Inh,Sncg,Sncg_2,Sncg Ptprk
LS-15000_S84_E1-50,cl63_i73_Tac2_Vip,Vip Crispld2_2,#992E81,Inh,Vip,Vip_2,Vip Crispld2_a
LS-15000_S85_E1-50,cl151_i35_Gpr63_Lamp5,Lamp5 Slc35d3,#FFA388,Inh,Lamp5,Lamp5_2,Lamp5 Slc35d3
LS-15000_S86_E1-50,cl116_n47_Lgr6_Astro,Astro Aqp4,#665C47,Glia,Astro,Astro,Astro Aqp4_b
LS-15000_S89_E1-50,cl113_i48_Dock5_Lamp5,Lamp5 Pdlim5,#FF7290,Inh,Lamp5,Lamp5_2,Lamp5 Pdlim5
LS-15000_S90_E1-50,cl26_i124_Ccser1_Vip,Vip Igfbp6,#7779BF,Inh,Vip,Vip_1,Vip Igfbp6
LS-15000_S91_E1-50,cl63_i73_Tac2_Vip,Vip Crispld2_2,#992E81,Inh,Vip,Vip_2,Vip Crispld2_a
LS-15000_S92_E1-50,cl151_i35_Gpr63_Lamp5,Lamp5 Slc35d3,#FFA388,Inh,Lamp5,Lamp5_2,Lamp5 Slc35d3
LS-15000_S93_E1-50,cl12_i155_Crabp1_Sncg,Sncg Crispld2 ,#7A0099,Inh,Sncg,Sncg_2,Sncg Ptprk
