,gene
399,Plxna2
400,Plxna4
401,Prdm1
402,Prdm8
403,Prkg1
404,Prkg2
405,Prokr2
406,Prox1
407,Prr16
408,Prrt2
409,Pter
410,Ptgs1
411,Ptgs2os
412,Ptpre
413,Ptprf
414,Ptprk
415,Ptprm
416,Ptpro
417,Ptprt
418,Ptpru
419,Rab37
420,Racgap1
421,Rai14
422,Rasd1
423,Rasd2
424,Rasgrf2
425,Rbfox1
426,Rbfox3
427,Rbm43
428,Rcn1
429,Rell1
430,Rell2
431,Rerg
432,Ret
433,Rftn2
434,Rfx3
435,Rgs17
436,Rgs6
437,Rgs8
438,Rgs9
439,Rimbp2
440,Rims1
441,Rnd3
442,Robo2
443,Rorb
444,Rps6ka2
445,Rspo1
446,Rtn4r
447,Rtn4rl1
448,Rufy2
449,Runx1t1
450,Rxfp1
451,Rxfp3
452,Satb1
453,Satb2
454,Scn3a
455,Scnn1a
456,Scube1
457,Sdk1
458,Sema3a
459,Sema5a
460,Sema5b
461,Serbp1
462,Sh2d5
463,Sh3bp5
464,Shh
465,Shisa9
466,Sipa1l1
467,Sit1
468,Sla
469,Slc13a5
470,Slc17a6
471,Slc17a8
472,Slc24a2
473,Slc26a4
474,Slc32a1
475,Slc35d3
476,Slc38a1
477,Slc38a10
478,Slc41a3
479,Slc44a5
480,Slc5a5
481,Slc5a7
482,Slc6a9
483,Slc9b2
484,Slit2
485,Slit3
486,Sntb1
487,Sntg1
488,Sorcs1
489,Sorcs3
490,Sowaha
491,Sowahb
492,Sox5
493,Sox6
494,Sp8
495,Sp9
496,Sphk1
497,Sprn
498,Sstr1
499,St3gal2
500,Stac
501,Stac3
502,Stard8
503,Stc1
504,Strbp
505,Stx6
506,Stxbp6
507,Sv2c
508,Svop
509,Syndig1l
510,Synpo
511,Sys1
512,Syt17
513,Syt2
514,Tacr3
515,Tacstd2
516,Tanc2
517,Tbc1d4
518,Tbc1d8b
519,Tbr1
520,Tbx2
521,Teddm3
522,Tenm2
523,Tenm4
524,Them6
525,Thsd7a
526,Thsd7b
527,Tiam2
528,Timeless
529,Tll1
530,Tmem132a
531,Tmem145
532,Tmem196
533,Tmem215
534,Tmem44
535,Tnfaip8
536,Tox
537,Tox2
538,Tox3
539,Tpbg
540,Trank1
541,Trhde
542,Trim62
543,Trim9
544,Trpc5
545,Trpc6
546,Trps1
547,Tspan1
548,Tspan11
549,Ttll1
550,Ube2v2
551,Unc13c
552,Unc5c
553,Unc5d
554,Upb1
555,Ust
556,Vax1
557,Vmn2r1
558,Vps26a
559,Vrk1
560,Vwc2
561,Vwc2l
562,Whrn
563,Wnt10a
564,Wnt2
565,Wnt5a
566,Wnt5b
567,Xkr4
568,Zbtb20
569,Zdbf2
570,Zfhx3
571,Zfp365
572,Zfp385b
573,Zfp536
574,Zfp703
575,Zfp804a
576,Zfp804b
577,Zfpm2
578,Zmat4
