,gene
0,Alcam
1,Ank1
2,Ankrd55
3,B3galt1
4,Cdh9
5,Chodl
6,Cux2
7,Dlx1
8,Elfn1
9,Fam19a2
10,Fezf2
11,Foxp2
12,Gad2
13,Galnt14
14,Grin3a
15,Grm5
16,Kcnip4
17,Kcnk2
18,Kcnmb2
19,Ldb2
20,Lhx6
21,Lingo2
22,Mef2c
23,Mpped1
24,Npas1
25,Nr2f2
26,Nts
27,Parm1
28,Pcdh8
29,Pde1a
30,Prox1
31,Pvalb
32,Rorb
33,Satb2
34,Sema3e
35,Sez6
36,Slc32a1
37,Sv2c
38,Syndig1
39,Thsd7a
40,Tnni3k
41,Unc13c
