index,cell_volume,pos_x,pos_y,1700022I11Rik,1810046K07Rik,5031425F14Rik,5730522E02Rik,Acta2,Adam2,Adamts2,Adamts4,Adra1b,Alk,Ankfn1,Ano4,Aqp4,Asic4,B4galnt2,B4galnt3,Barx2,Bcl11b,Bdnf,Bgn,Blnk,Bmpr1b,Brinp3,C1ql3,C1qtnf7,Cacng5,Calb2,Camk2d,Car3,Cbln2,Cbln4,Ccbe1,Ccdc162,Ccdc3,Ccdc80,Ccnb1,Cd14,Cd24a,Cdca7,Cdcp1,Cdh12,Cdh13,Cdh20,Cdh9,Ceacam9,Cemip,Chat,Chn2,Chodl,Chrm2,Chrna2,Cldn5,Clrn1,Cntnap5b,Cobll1,Col14a1,Col15a1,Col23a1,Col24a1,Col25a1,Corin,Cplx3,Crhr2,Crispld2,Cspg4,Ctss,Cux2,Cxcl14,Daam2,Dmkn,Dnase1l3,Dscaml1,Egfem1,Egfr,Egln3,Egr2,Elfn1,Enpp6,Epha7,Fam19a2,Fam84b,Fbxl7,Fezf2,Flrt3,Flt1,Fndc7,Fosb,Foxp2,Frem2,Fst,Gfap,Glra1,Gpc6,Grik1,Grin3a,Grm1,Grm8,Hpse,Hs3st5,Igf2,Igfbp4,Igfbp5,Ikzf2,Il1rapl2,Il4ra,Inpp4b,Iqgap2,Itgb8,Kcng1,Kcnj8,L3mbtl4,Lama3,Lhx6,Lmo1,Lsp1,Ltf,Luzp2,Lypd1,Lyzl4,March1,Marcksl1,Meis2,Moxd1,Mrc1,Mrgprx2,Muc20,Myh14,Ndst4,Nhs,Nkain3,Nnmt,Nos1,Npas1,Npnt,Npsr1,Npy2r,Nr2f2,Nr4a1,Nr4a2,Ntng2,Nxph1,Nxph2,Nxph4,Olah,Olfm3,Opalin,Oprk1,Osr1,Otof,Parm1,Pcdh8,Pde11a,Pdgfc,Pdgfra,Pdlim5,Phactr2,Plch1,Plcxd3,Pld5,Plekhg3,Pou3f1,Pou3f3,Pou6f2,Prdm8,Prok2,Prokr2,Prox1,Prr16,Prss12,Prss23,Ptger3,Ptprk,Ptprm,Ptprt,Ptpru,Pxdc1,Ramp1,Reln,Rerg,Rfx3,Rgs5,Rgs6,Rnf152,Ror1,Rorb,Rspo1,Rxfp1,Rxfp2,Satb2,Scgn,Sema3e,Sema5a,Serpinf1,Sertm1,Sgcd,Shisa9,Slc17a6,Slc17a8,Slc25a13,Slc30a3,Slc32a1,Slc44a5,Slco5a1,Sncg,Sox10,Sox6,Sp8,Spon1,St6galnac5,Sulf1,Sulf2,Syndig1,Syt10,Syt6,Tbc1d4,Tcap,Teddm3,Tenm3,Th,Thbs2,Thsd7a,Timp3,Tmem163,Tmtc2,Tnfaip6,Tox,Trp53i11,Trpc4,Trpc6,Tshz2,Tunar,Ubash3b,Unc13c,Unc5b,Unc5d,Ust,Vipr2,Vtn,Vwc2,Wipf3,Wnt7b,Zfp804b,Vip,Calb1,Gad2,Tac2,Lamp5,Cnr1,Pvalb,Sst,Rab3b,Slc17a7,Penk,Gad1
bf10eb2c-4c92-4d08-8187-5f6c2e7bc301,755.1415087501691,-231.219345512365,2723.442532120689,0.0,0.0,0.0,0.0,1.6357179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.72146,0.0,0.0,0.0,0.0,4.9071536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2714357,0.0,1.6357179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6357179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6357179,1.6357179,0.0,14.72146,13.085743,0.0,0.0,0.0,0.0,3.2714357,0.0,0.0,0.0,0.0,3.2714357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2714357,0.0,1.6357179,0.0,0.0,0.0,0.0,0.0,4.9071536,4.9071536,0.0,0.0,0.0,0.0,0.0,1.6357179,0.0,0.0,0.0,3.2714357,0.0,0.0,0.0,0.0,3.2714357,0.0,0.0,0.0,1.6357179,3.2714357,0.0,0.0,0.0,0.0,3.2714357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2714357,1.6357179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6357179,0.0,0.0,0.0,1.6357179,0.0,1.6357179,0.0,0.0,1.6357179,0.0,0.0,1.6357179,14.72146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2714357,0.0,0.0,1.6357179,0.0,0.0,1.6357179,1.6357179,1.6357179,8.178589,0.0,8.178589,0.0,0.0,0.0,0.0,0.0,0.0,3.2714357,0.0,0.0,0.0,1.6357179,0.0,1.6357179,0.0,0.0,0.0,1.6357179,0.0,0.0,0.0,0.0,0.0,1.6357179,1.6357179,0.0,0.0,0.0,0.0,3.2714357,0.0,0.0,0.0,1.6357179,0.0,0.0,0.0,8.178589,0.0,1.6357179,0.0,4.9071536,1.6357179,0.0,0.0,0.0,0.0,0.0,1.6357179,0.0,0.0,0.0,0.0,0.0,0.0,1.6357179,8.178589,0.0,0.4023099,0.19257699,1.1833166,0.13332252,0.030323595,0.0,0.29411986,0.1317985,0.19012825,2.8002825,0.072875075,0.04185493
99b06612-2851-42a3-81d8-4b4d1c16929c,1798.7061734995898,-243.06081105675202,2695.3251972095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8070045,1.3734299,0.0,5.4937196,0.0,0.0,0.0,0.0,0.0,10.300724,0.0,0.0,0.0,0.0,0.68671495,0.0,0.0,0.0,0.0,0.68671495,0.0,3.4335747,0.0,0.68671495,0.68671495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.060145,2.7468598,0.0,4.12029,0.68671495,0.0,0.0,0.0,0.0,0.0,0.0,0.68671495,0.0,2.060145,0.0,0.68671495,0.0,0.0,0.68671495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68671495,0.0,0.0,2.7468598,0.0,0.0,0.0,0.68671495,0.68671495,0.0,3.4335747,0.0,0.0,0.0,2.060145,1.3734299,0.0,0.0,0.68671495,6.1804347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4937196,0.0,2.060145,0.0,14.421014,2.060145,0.0,0.0,0.0,1.3734299,6.8671494,1.3734299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.614009,0.0,0.0,0.0,0.0,0.0,0.68671495,0.68671495,0.0,0.0,0.0,0.68671495,2.060145,0.0,0.0,0.0,9.614009,1.3734299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68671495,0.0,0.0,0.0,0.0,0.0,4.12029,0.0,1.3734299,0.0,0.0,0.68671495,0.0,0.0,1.3734299,0.0,1.3734299,0.0,0.68671495,0.68671495,0.0,2.060145,0.68671495,0.0,0.0,1.3734299,0.0,9.614009,0.0,0.0,0.0,0.0,0.0,9.614009,0.0,0.0,6.1804347,0.0,0.0,0.0,0.68671495,1.3734299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3734299,0.68671495,0.0,0.0,1.3734299,0.0,25.408453,0.0,0.0,0.0,2.7468598,0.0,0.0,0.68671495,0.0,0.0,0.0,0.0,2.060145,0.68671495,0.0,0.68671495,0.0,0.0,0.0,0.0,0.0,0.0,1.3734299,0.0,0.0,0.0,11.674154,0.0,0.68671495,1.604555,0.8392562,4.616177,0.8572097,0.25965494,0.0,1.4745935,0.23866814,1.2986337,17.932772,0.28861317,0.0
bb928aae-e678-4eec-b624-35d9e58147ac,648.488741999996,-244.532224077738,2806.48999960744,0.0,0.0,0.0,0.0,5.7142015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9047338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8094676,0.0,0.0,1.9047338,22.856806,0.0,1.9047338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9047338,1.9047338,0.0,0.0,0.0,0.0,0.0,1.9047338,0.0,0.0,0.0,0.0,1.9047338,0.0,0.0,0.0,0.0,49.52308,0.0,0.0,1.9047338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9047338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9047338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9047338,0.0,0.0,1.9047338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7142015,1.9047338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9047338,0.0,0.0,22.856806,0.0,1.9047338,0.0,1.9047338,0.0,0.0,0.0,5.7142015,0.0,1.9047338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9047338,5.7142015,0.0,0.0,0.0,0.0,0.0,0.0,11.428403,0.0,7.618935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9047338,0.30648062,0.14232345,0.94855344,0.085496984,0.029332157,0.0,0.35022154,0.0820409,0.23405786,2.6850545,0.050844673,0.059117705
ed4c0eb0-2b28-430c-a8db-7637d97b1f3a,409.261836750022,-249.064394784234,2657.25897176323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.018113,0.0,0.0,3.018113,3.018113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.018113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.018113,0.0,0.0,0.0,0.0,0.0,0.0,3.018113,0.0,0.0,15.090565,6.036226,0.0,3.018113,0.0,0.0,3.018113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.018113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.018113,18.108677,0.0,0.0,0.0,0.0,9.054338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.018113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.018113,0.0,0.0,0.0,0.0,0.0,0.0,9.054338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.018113,0.0,0.0,0.0,3.018113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.018113,0.0,0.0,0.0,3.018113,0.0,0.0,0.0,3.018113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.018113,0.0,0.37310165,0.18492055,1.1335117,0.047278173,0.018282447,0.0,0.42166075,0.15998697,0.23206301,1.6085138,0.04886974,0.07780936
ab09bb0a-db32-447e-8aa6-8171116b2656,1568.78209124999,-297.780872135666,2739.03879183665,0.0,0.0,0.0,0.0,1.5747228,0.0,0.7873614,0.0,0.0,0.7873614,0.0,6.298891,0.0,0.0,0.0,0.0,0.0,17.32195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5747228,0.0,3.1494455,0.0,0.0,0.7873614,0.0,0.7873614,0.0,0.0,0.0,0.0,0.0,2.3620842,0.0,0.0,0.7873614,0.7873614,0.7873614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7873614,2.3620842,0.7873614,3.936807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7873614,0.0,0.0,0.7873614,0.0,0.7873614,1.5747228,0.7873614,0.0,0.0,2.3620842,1.5747228,0.7873614,0.0,6.298891,0.0,0.0,0.0,0.0,1.5747228,0.0,0.7873614,0.0,0.7873614,0.0,0.0,0.7873614,2.3620842,1.5747228,0.0,0.0,0.0,6.298891,0.7873614,0.0,0.0,0.0,0.0,3.1494455,0.0,1.5747228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5747228,0.0,0.7873614,0.7873614,10.235698,0.0,0.0,0.0,0.0,0.7873614,0.0,0.0,0.7873614,0.0,0.0,0.0,2.3620842,0.0,0.0,0.0,5.5115294,0.0,0.0,0.0,0.0,0.7873614,0.0,3.936807,0.0,0.0,0.0,0.0,0.7873614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3620842,0.0,0.0,0.0,12.597782,0.0,0.0,0.0,0.0,0.0,0.7873614,1.5747228,3.936807,0.0,0.7873614,0.0,1.5747228,6.298891,0.0,0.7873614,0.0,0.7873614,0.0,0.0,2.3620842,13.385143,0.0,0.0,0.0,1.5747228,0.0,19.684034,0.0,0.0,9.448337,0.0,0.7873614,0.7873614,4.7241683,0.0,1.5747228,0.0,0.0,0.0,0.0,0.0,0.0,0.7873614,0.0,0.0,4.7241683,0.7873614,0.0,28.345009,0.7873614,0.0,15.747228,0.0,0.0,0.0,1.5747228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.936807,0.0,0.7873614,0.0,0.0,0.0,0.0,0.0,0.0,0.7873614,0.7873614,0.0,0.0,0.0,10.235698,0.0,0.0,0.74083203,0.38377127,2.113198,0.2867539,0.1228068,0.0,0.6020604,0.1272615,1.232234,10.458024,0.11574463,0.0
8570fd10-9804-476d-8046-b0f518c222c9,1442.43656699987,-304.96958742864797,2705.97505144914,0.0,0.0,0.0,0.0,0.8563277,0.0,0.8563277,0.0,0.8563277,0.0,0.0,1.7126554,0.8563277,0.0,0.0,0.0,0.0,9.419605,0.0,0.0,0.8563277,0.0,0.0,5.137966,0.0,0.8563277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8563277,18.83921,0.8563277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8563277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7126554,0.0,0.0,0.0,3.4253109,0.0,0.8563277,2.568983,0.0,0.0,0.0,6.8506217,2.568983,1.7126554,0.0,10.275932,1.7126554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8563277,5.137966,0.0,0.0,0.0,12.844916,4.2816386,0.0,0.0,0.0,0.0,6.8506217,0.0,15.413899,0.0,0.0,0.0,0.0,0.0,0.0,0.8563277,0.8563277,1.7126554,0.0,0.0,0.0,5.994294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8563277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.270227,0.8563277,0.0,0.0,0.0,0.0,0.0,0.8563277,0.0,0.8563277,0.0,5.994294,2.568983,0.0,0.8563277,0.0,0.0,0.0,0.8563277,11.13226,2.568983,0.0,0.8563277,0.0,2.568983,0.0,0.0,0.8563277,3.4253109,0.0,0.0,0.0,3.4253109,6.8506217,0.0,2.568983,0.0,0.0,0.0,5.137966,0.0,0.0,0.0,0.0,0.0,0.0,5.137966,0.0,0.8563277,0.0,0.0,0.0,0.0,0.8563277,0.0,0.0,0.0,0.8563277,12.844916,7.7069497,0.8563277,31.684126,1.7126554,0.0,3.4253109,0.0,0.0,0.0,7.7069497,0.0,0.0,0.0,1.7126554,2.568983,0.0,0.0,4.2816386,0.0,2.568983,0.0,1.7126554,0.0,0.0,0.8563277,0.0,0.0,7.7069497,0.8563277,0.0,0.0,13.701243,3.4253109,0.0,0.50650215,0.0,1.8618457,0.06706648,1.0106686,0.35368395,0.71304023,0.2156744,1.3487277,16.408731,0.22482708,0.0
8ea1872e-022a-4eef-b4e2-73b381c46452,1556.61891750007,-312.490321374236,2663.3521273870997,0.0,0.0,0.0,0.0,0.0,0.0,0.7935137,0.7935137,0.0,0.0,0.0,2.380541,1.5870274,0.0,0.0,0.7935137,0.7935137,8.728651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.554596,0.0,3.9675684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7935137,0.0,0.0,0.0,0.0,0.7935137,0.0,1.5870274,0.0,0.7935137,0.0,0.0,0.7935137,0.0,0.0,0.0,0.0,0.0,0.0,0.7935137,0.0,0.0,0.0,0.7935137,0.0,0.0,0.0,5.554596,2.380541,0.0,0.0,0.7935137,0.0,0.0,0.0,0.7935137,0.0,0.0,2.380541,0.0,1.5870274,0.0,6.3481097,0.7935137,0.0,0.0,0.7935137,3.1740549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5870274,0.0,0.0,0.0,6.3481097,3.9675684,0.0,0.0,0.0,0.0,3.9675684,0.7935137,0.0,0.0,0.7935137,0.0,0.0,0.0,0.0,0.0,0.7935137,0.0,0.0,1.5870274,0.0,11.902705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5870274,0.0,0.0,0.0,9.522164,0.0,0.0,0.0,0.0,0.0,0.0,1.5870274,0.0,0.0,0.0,0.0,0.7935137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.380541,0.0,0.0,0.7935137,8.728651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5870274,0.7935137,1.5870274,1.5870274,4.761082,1.5870274,0.0,1.5870274,0.0,0.0,0.7935137,7.141623,3.9675684,15.07676,0.0,0.0,0.0,0.7935137,0.0,19.044329,0.0,0.7935137,11.109192,0.0,0.0,0.0,2.380541,0.7935137,0.0,0.7935137,0.0,0.7935137,0.0,0.0,0.0,0.0,0.0,0.0,1.5870274,0.0,0.0,23.011898,0.7935137,0.0,14.283246,0.0,0.0,0.0,4.761082,0.0,0.0,0.0,2.380541,0.0,0.0,0.0,5.554596,0.0,3.1740549,0.0,1.5870274,0.0,0.0,0.7935137,0.0,0.0,0.0,0.0,0.0,0.0,13.489733,0.0,0.0,0.45597938,0.17478178,1.2290407,0.20664465,0.031553525,0.0,0.40895844,0.4179009,1.2966387,12.031912,0.17312208,0.30120486
c26363dc-182e-4bd0-b1c6-3fdc3123dc5e,1855.1023102500305,-318.484808635505,2737.63838911375,0.0,0.0,0.6658384,0.0,0.0,0.0,0.6658384,0.6658384,0.0,1.3316768,0.0,5.992546,0.6658384,0.0,0.0,0.0,0.0,21.30683,0.0,0.0,0.0,0.0,0.0,1.9975153,0.0,0.0,0.0,0.0,0.0,0.0,0.6658384,0.6658384,0.0,0.6658384,0.0,0.6658384,0.0,0.0,0.0,0.0,0.0,11.319254,5.992546,0.6658384,0.0,1.9975153,0.6658384,0.0,0.0,0.0,0.0,0.0,0.0,6.6583843,0.0,0.0,0.0,0.0,0.0,0.6658384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9975153,0.6658384,0.0,0.0,9.9875765,0.0,0.0,1.3316768,0.6658384,0.0,0.0,5.992546,0.6658384,7.9900613,0.0,4.660869,0.0,0.0,0.0,0.6658384,0.6658384,0.0,0.0,0.0,0.6658384,0.6658384,0.0,0.0,0.0,5.992546,0.0,1.3316768,0.0,13.316769,1.3316768,0.6658384,0.0,0.0,0.0,3.9950306,0.0,9.9875765,0.0,1.3316768,0.0,0.0,0.0,0.0,0.0,0.0,3.3291922,0.0,0.0,0.0,6.6583843,0.0,0.0,0.0,0.0,1.3316768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.321738,0.6658384,0.6658384,0.0,0.0,0.0,0.0,0.6658384,0.0,0.0,0.0,0.0,29.96273,0.0,0.0,0.0,0.0,0.0,0.6658384,0.0,0.0,0.0,0.0,0.6658384,0.6658384,0.0,0.0,0.0,0.0,0.0,2.6633537,6.6583843,2.6633537,0.0,0.6658384,0.0,4.660869,0.0,0.0,2.6633537,1.3316768,0.0,0.0,0.0,0.6658384,4.660869,0.0,1.9975153,0.0,1.3316768,0.0,1.9975153,0.0,1.3316768,0.0,0.0,0.6658384,0.0,1.3316768,0.0,0.0,0.0,0.0,0.0,0.0,2.6633537,0.0,0.0,0.0,0.0,5.3267074,10.653415,0.0,30.628569,0.6658384,0.0,0.0,0.0,0.0,0.0,5.992546,0.0,0.0,0.0,0.0,1.3316768,0.6658384,0.0,5.3267074,0.6658384,0.6658384,0.0,0.6658384,0.0,0.6658384,0.0,0.0,0.0,7.9900613,0.0,0.6658384,0.0,14.648446,1.9975153,0.6658384,0.5012703,0.0,2.2412941,0.078217916,1.5848873,0.8266152,1.0412598,0.20385343,1.1890638,13.914056,0.16614115,0.028025277
fdeedf2a-bb3b-4463-9b4a-e1975f3ef245,100.388509500003,-326.510873458993,2788.27137100343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.216724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.304181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.304181,24.608362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.304181,0.0,0.0,0.0,0.0,0.0,0.0,12.304181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.304181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.304181,0.0,0.0,12.304181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.608362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.304181,24.608362,0.0,0.0,0.0,0.0,0.0,12.304181,0.0,0.0,49.216724,0.0,0.0,0.0,12.304181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.52091,0.0,0.0,0.0,12.304181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.608362,0.0,0.0,0.72600514,0.25281742,2.027046,0.30284014,0.12888731,0.0,0.8864383,0.17697474,1.046,14.682477,0.24089697,0.07068425
581ee8be-4160-46e5-8021-d1c39e2d87fb,363.46058174997495,-344.432495746568,2699.32402636594,0.0,0.0,0.0,0.0,3.3984385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.195315,0.0,0.0,0.0,0.0,0.0,3.3984385,0.0,0.0,0.0,3.3984385,0.0,0.0,0.0,0.0,3.3984385,0.0,3.3984385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3984385,0.0,6.796877,0.0,0.0,0.0,0.0,0.0,0.0,3.3984385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.39063,10.195315,0.0,0.0,0.0,0.0,10.195315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3984385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3984385,0.0,0.0,0.0,0.0,0.0,3.3984385,0.0,0.0,0.0,3.3984385,0.0,0.0,0.0,3.3984385,3.3984385,0.0,0.0,0.0,0.0,0.0,3.3984385,0.0,0.0,0.0,10.195315,0.0,0.0,0.0,0.0,10.195315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3984385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3984385,0.0,0.0,0.0,0.0,6.796877,3.3984385,0.0,0.0,0.0,0.0,0.0,40.78126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3984385,3.3984385,6.796877,0.0,0.0,6.796877,0.0,0.0,3.3984385,0.0,0.0,0.0,0.0,10.195315,0.0,0.0,0.0,6.796877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.796877,0.0,0.0,3.3984385,0.0,0.0,6.796877,0.0,0.0,0.0,0.0,0.0,0.0,6.796877,0.0,0.0,0.0,3.3984385,0.0,3.3984385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3984385,0.0,0.0,0.0,0.0,3.3984385,0.0,0.31686884,0.10951568,0.7864627,0.053719778,0.05929937,0.0,0.26107293,0.04380752,0.18739885,3.0462844,0.061148,0.045328617
