"sample_name","x","y","rmax","subclass","broad_class"
293,8806.89587550608,19202.0126783291,0.0609073279609948,"L2/3 IT","Ex"
294,13044.1079154533,16381.9294226681,0.127492382520963,"L2/3 IT","Ex"
295,12305.4757589406,12253.9517599967,0.0708185184988723,"L4","Ex"
296,8931.64715149326,12254.5393732712,0.165344229103044,"L5 IT","Ex"
298,12373.6630066281,16668.4061923785,0.194413000505696,"L2/3 IT","Ex"
300,7525.99706042977,19490.0205668468,0.0733385708210584,"L4","Ex"
301,9052.00719898455,10737.4779660107,0.0960279275474102,"L6 IT","Ex"
302,12168.2559445494,4183.85036572461,0.093068436825203,"L6 PT","Ex"
304,13776.1537353637,12440.8760611705,0.0961390187754282,"Lamp5","Inh"
306,17421.6412950176,9111.34690140632,0.0895286677642702,"L2/3 IT","Ex"
307,7072.47030918651,18687.1020268929,0.0377456244961525,"L4","Ex"
308,3941.03838180749,16614.8710707034,0.0500007222789308,"L6 PT","Ex"
309,7950.66394652743,12300.8093319557,0.183481484751636,"Oligo","Glia"
310,7827.75171505337,10626.1499319526,0.0778587205315965,"L6 IT","Ex"
311,6284.31412301271,18006.305007918,0.0846140754047764,"Oligo","Glia"
312,12309.8104223956,10709.8883939415,0.0317408560572738,"Vip","Inh"
313,14836.9784553292,12187.6260799573,0.132361585253072,"Sst","Inh"
314,10690.3113283891,8155.16798033726,0.0642215511988664,"Sst","Inh"
315,6655.3148439401,12731.6297126471,0.0831808096791962,"L6 PT","Ex"
316,15662.24611766,10397.4925972435,0.0498717614516329,"L2/3 IT","Ex"
317,8683.23077828204,12338.8932199435,0.066331356656443,"L5 PT","Ex"
318,14507.3943996406,2301.56281801988,0.115012792684355,"L5 IT","Ex"
319,16703.1877752065,7079.40141736184,0.0483822967866734,"L4","Ex"
321,14658.5829137522,8060.30863815083,0.0619946389380091,"L4","Ex"
322,9972.90577414954,6636.14044337168,0.20831891443201,"L6 PT","Ex"
323,5966.43573899842,6378.42507482356,0.182174088972238,"L6b","Ex"
325,7821.78273554989,10320.529006787,0.132678438567871,"L6 IT","Ex"
326,6635.11066382144,13521.1012560565,0.0590643671128967,"L5 PT","Ex"
327,7366.61431252719,14772.4086017091,0.0747388472584979,"L5 IT","Ex"
329,8110.04545607513,10402.816434945,0.25529959959999,"L6 PT","Ex"
330,16520.9726376896,5358.83528330164,0.0390079516398021,"L4","Ex"
332,9219.8289660709,8659.53601914849,0.0992436238564025,"L6 PT","Ex"
334,11695.8996606813,16736.8780426382,0.053849465046086,"L2/3 IT","Ex"
336,4582.25493232498,13304.5916820806,0.16145150984753,"L6b","Ex"
337,14651.5103124603,12735.157434523,0.0725267401481593,"L4","Ex"
339,12745.392041514,3022.11930254656,0.103859628100255,"L6 PT","Ex"
340,13912.4953394063,14986.3623496217,0.085116998175347,"L2/3 IT","Ex"
341,11980.981202014,3475.2567112048,0.132861189293962,"L6 PT","Ex"
342,11383.363443618,2347.25558869037,0.165153554443395,"L6b","Ex"
343,6745.72701036483,5152.43780433849,0.173492396957815,"L5 NP","Ex"
346,7001.69085175897,15969.9659056587,0.166340991298719,"L5 PT","Ex"
347,14578.6247113734,10508.7098678482,0.133935813340292,"L2/3 IT","Ex"
348,16549.2949149798,9706.47842691976,0.0542944586857115,"Sst","Inh"
349,14832.7054692252,2005.67879246586,0.128230043791681,"L5 PT","Ex"
350,13648.0368504014,6178.07259105929,0.123084545611603,"L5 PT","Ex"
351,12340.4459175242,11582.3518570327,0.0402312753684611,"L4","Ex"
352,10222.015064671,17019.8528375046,0.154023896169282,"L2/3 IT","Ex"
353,16944.9652486057,6375.41815209095,0.0412166144347549,"L2/3 IT","Ex"
354,10841.5429955272,8759.24247530324,0.160993430279157,"L6 IT","Ex"
355,12362.8715080957,3238.39290255244,0.0922714568028397,"L6 PT","Ex"
356,11019.2961002845,5241.26161438224,0.131207395831521,"L6 IT","Ex"
357,9675.49181915911,8255.13505384099,0.130959533879322,"L6 IT","Ex"
358,573.676701639176,14826.4436370516,0.121499030433508,"Sst","Inh"
359,18244.6639858493,6172.48878156585,0.0616681212283723,"L2/3 IT","Ex"
362,14842.9323086517,9531.71459737058,0.0374121075673373,"L4","Ex"
