"sample_name","x","y","rmax","subclass","broad_class"
1,9428.77577715789,8798.33373598945,1.99458613841405,"L6 PT","Ex"
3,5518.32668590217,14650.3331924721,5.01317289853335,"Pvalb","Inh"
5,5998.50028874056,17729.9994726034,3.31489637659978,"L5 PT","Ex"
6,5951.61953211529,4534.52919166218,-2.48031866869395,"L5 PT","Ex"
9,9015.47586226568,16983.6377826868,-1.49724105340465,"L4","Ex"
11,10534.7475787829,19435.6964437411,-0.740302580897784,"L4","Ex"
12,17234.8509061372,7993.1946038182,1.74807220875956,"L2/3 IT","Ex"
13,9768.94410967243,18075.5427988378,4.42603431126693,"Pvalb","Inh"
14,5111.27185429956,15879.4674750338,4.95876915334809,"Sst","Inh"
16,13981.8238550976,5228.53197556885,-2.91958337200605,"L6 IT","Ex"
18,16908.4207350762,11312.0382935141,0.465497770510489,"L2/3 IT","Ex"
19,13323.8556454485,3079.5102232798,-3.39862925894037,"L6 IT","Ex"
20,15281.9961699582,12904.7941325447,-0.0673734194026814,"L2/3 IT","Ex"
21,7879.46350695188,19046.937590227,-4.01822060236216,"L4","Ex"
22,14845.0484561331,12740.1572363712,2.87837846210679,"L2/3 IT","Ex"
23,29.168226395466,14828.2457290988,-4.25324090605104,"L5 PT","Ex"
25,12977.9056204252,9680.21310038565,-0.652231360406706,"Pvalb","Inh"
27,14793.3164457293,8898.35792182342,0.553273195256975,"L4","Ex"
28,14743.5754769299,12166.5995757872,0.23825218537187,"L2/3 IT","Ex"
30,10658.0048671908,4017.34719064662,1.50186098199726,"L6b","Ex"
33,10860.3702746132,18089.5587121165,2.29772643025467,"L2/3 IT","Ex"
34,18455.0999562312,6059.25680763502,1.66350309776472,"L2/3 IT","Ex"
35,14962.2524027158,13837.3131052396,-0.0211956936937248,"L2/3 IT","Ex"
36,10495.3550892862,17691.6896749776,-0.244024845787926,"L2/3 IT","Ex"
37,10508.4133514697,8456.66683858644,2.33789817112918,"L6 PT","Ex"
39,453.239012066744,14598.6212607266,-3.69514541297819,"Oligo","Glia"
40,15406.567401013,10077.8316908011,-0.0828800708828381,"L2/3 IT","Ex"
41,7524.90971937708,15606.5020213161,2.52007212211282,"Sst","Inh"
42,17526.0656325379,4361.28326339475,0.739730972609134,"L2/3 IT","Ex"
43,10112.879469346,18608.3469092365,1.08165990278106,"L2/3 IT","Ex"
45,11790.8170780217,8935.74365307946,2.86786927957446,"L5 PT","Ex"
47,16950.2810460039,9087.18814819821,-0.344540027885118,"L2/3 IT","Ex"
51,12721.2175195565,7150.67953947771,1.24209020561395,"L5 PT","Ex"
52,13927.9529460176,6627.91630262815,0.483444521922179,"L5 IT","Ex"
53,10881.3913360496,10206.7908037617,4.39431280493996,"Sst","Inh"
54,13828.8233905339,4675.73774074776,1.29180299522139,"Oligo","Glia"
55,4150.92916194882,16730.3675090414,3.52066097517001,"L6 IT","Ex"
59,10184.1622491145,9724.5893050008,1.67859348182211,"L6 IT","Ex"
61,14713.8225593227,14330.2270659423,-0.657667298669778,"L2/3 IT","Ex"
62,7546.90008578848,10190.7502451449,3.64908059556929,"Vip","Inh"
64,8315.28327776707,20583.0522786709,4.17517909494666,"L2/3 IT","Ex"
69,10006.860384247,8851.15747915208,-2.89171232495669,"Lamp5","Inh"
70,9424.84843694979,11172.1382628265,3.59814457343424,"L6 IT","Ex"
71,9396.56324230055,10889.7874300345,1.72082618286942,"L5 IT","Ex"
72,7486.5932524896,4891.23857398895,-3.82420416371174,"L5 NP","Ex"
73,9869.6561520497,16403.6094970458,1.44545465368148,"L2/3 IT","Ex"
74,14879.4685378278,3478.40008135161,-1.04026125756815,"Pvalb","Inh"
76,13159.8748692339,2292.43784404469,3.94990611477634,"L6 PT","Ex"
77,14192.4069870936,5318.48227438614,2.3970635576172,"L5 IT","Ex"
78,9101.91721797904,19075.0951308865,-0.207242446185903,"L2/3 IT","Ex"
79,5721.0113419799,13106.7029666984,2.25236670499041,"L6 PT","Ex"
80,5855.70371312102,15407.1269009726,2.54720877063888,"L6 PT","Ex"
81,6150.05844956863,10591.9184470851,-2.51710965249566,"Pvalb","Inh"
82,13258.6513389101,10948.7554768506,-0.457028346930343,"L4","Ex"
83,12531.7287064861,13155.6092919562,1.15543085039319,"L4","Ex"
85,9541.08946905536,17718.6981793893,-2.02794292457048,"L2/3 IT","Ex"
91,1074.86598189845,14159.0080174653,1.3071629874281,"L5 PT","Ex"
92,5066.12611796605,15121.8928751095,4.30970280924894,"L6 PT","Ex"
94,1022.83777622169,15423.5655920519,3.87696289816542,"Pvalb","Inh"
96,10536.6257857463,7644.88873297191,-1.67644738155788,"L2/3 IT","Ex"
97,1097.51513677499,15570.9051440378,-0.190719088266833,"L5 PT","Ex"
98,5450.21966125138,16023.4486535926,3.8850919319193,"L6 IT","Ex"
99,15553.8594955371,2537.34644770665,1.89098067944631,"Sst","Inh"
100,5621.60345323428,14949.625926061,3.64173768654621,"L6 IT","Ex"
101,12343.9861523049,3085.71618480419,-2.50347738209954,"L6 PT","Ex"
103,5317.6031894249,16021.9425319688,2.49676233677632,"L6 IT","Ex"
104,8750.52756387552,2926.09326082281,-5,"Oligo","Glia"
106,10298.1828043642,1906.98398400549,-3.97074249959395,"L6 IT","Ex"
108,15777.6197490661,9101.46362134704,1.31224544467364,"L2/3 IT","Ex"
109,13592.075147199,2560.47426262051,4.21536265533527,"L6 IT","Ex"
111,9745.33144022185,9236.38146651773,2.39219542643336,"L6 IT","Ex"
113,18620.3189902042,5985.67660215649,0.11222127296299,"Pvalb","Inh"
114,12143.9433559195,13482.9944289371,0.0398616283391817,"L4","Ex"
117,8155.89700333506,8269.39224486704,3.32484753840016,"L6b","Ex"
120,9029.29183114836,16788.9711642305,-1.97068493953443,"L2/3 IT","Ex"
121,10211.5472410403,2929.29770270196,1.66611368176689,"Oligo","Glia"
122,8432.53396712575,15952.2158315717,-3.84057638293882,"L6 IT","Ex"
123,6416.26919186887,19103.4102301044,1.51483793307548,"Pvalb","Inh"
124,16601.5966541074,7721.69230219164,-0.353120885318785,"L2/3 IT","Ex"
126,4040.9187479035,14359.7130019408,-2.94484132478563,"L6b","Ex"
129,13357.4276181263,10772.0927725617,1.71854851539538,"L4","Ex"
131,15347.2084273932,7713.29400783296,0.133979847750878,"L4","Ex"
132,6453.01409717308,4141.86180892839,3.27755585699219,"L5 PT","Ex"
133,9145.76003967226,15988.080581288,2.41729853178918,"L4","Ex"
134,9560.79428723592,10281.0932054312,-3.105975171,"Pvalb","Inh"
136,6575.40976386995,14887.6891806751,2.10824385309032,"Pvalb","Inh"
138,13340.9478336551,3521.55115747821,4.16018036608115,"L6 IT","Ex"
139,9208.96769977686,14100.2051719253,-3.0000987625,"L5 PT","Ex"
140,9245.88497857832,10829.4073815804,3.53671550844947,"L6 IT","Ex"
141,8003.87944169268,4155.80948178015,0.0681744407901048,"L5 NP","Ex"
142,10552.533221754,6911.31056079937,4.4784451653532,"L6 IT","Ex"
143,12176.3250239334,13960.7502671385,1.74114899344008,"L2/3 IT","Ex"
144,11924.2230312276,2276.28780746193,4.03169430204824,"L6 PT","Ex"
147,12445.0985917602,10857.7722830079,-0.371663369344458,"L4","Ex"
148,6408.84370239848,15197.0995925785,3.23497851385344,"L6 IT","Ex"
150,11163.3782818621,13026.3725724679,-3.26525315357364,"L4","Ex"
151,6456.77234617891,13859.3884285122,3.06543268356946,"L6 IT","Ex"
155,14160.3522264564,7622.3539421326,-3.3800766979843,"L2/3 IT","Ex"
156,8407.60760048532,8673.4868862756,-0.588461764799338,"L6 PT","Ex"
157,17253.6169760932,4705.89894839378,3.0620332493095,"L2/3 IT","Ex"
158,12563.1483516688,6116.05366223042,3.98112154439486,"L6 IT","Ex"
159,12258.4948795314,7217.58743651642,-0.213723391838267,"L5 IT","Ex"
161,18050.9891784942,6525.69152878156,4.79130098527946,"L2/3 IT","Ex"
163,12179.4701832126,12783.667468949,-1.91465962490887,"L2/3 IT","Ex"
165,9464.68820456546,6398.30340606246,4.14890166548387,"L6 PT","Ex"
166,3016.12745359832,14992.413271569,1.33730186780608,"Sst","Inh"
167,5872.41163424711,13486.0783941337,-1.04959727840518,"L6 PT","Ex"
168,5401.83441317797,16559.483731758,-3.9378509185,"L4","Ex"
169,8314.86859418679,17021.2222017598,-0.567639051234378,"L4","Ex"
170,12495.5413813592,10920.7306424612,-2.72543469763421,"L4","Ex"
171,6309.74970939644,5119.61251772176,-3.48138162681632,"L5 NP","Ex"
172,17572.6866948476,4694.10510511665,1.43774672543219,"L2/3 IT","Ex"
173,4943.35756542773,17097.9004523697,1.13933887608671,"L6 PT","Ex"
174,10832.728930903,11471.6684264934,4.10591080366082,"L5 PT","Ex"
176,12791.7316611916,4871.6722193413,2.8258160273148,"Pvalb","Inh"
177,4051.41780537361,15970.0466589521,4.07771643592977,"L6 IT","Ex"
178,2505.25424555647,12132.633227019,0.094692356206807,"Oligo","Glia"
179,18216.5160499421,6617.13584032406,5.04207832725873,"L2/3 IT","Ex"
180,7115.36235322125,4794.11111950205,-0.868569076376394,"L5 NP","Ex"
181,11750.6935129651,4920.9597201418,2.41874251543592,"L6 PT","Ex"
182,8751.67805333403,8787.47905388548,0.14722797721698,"L6 PT","Ex"
185,15871.4261740193,7021.30339507061,0.847020543089116,"L4","Ex"
189,15998.1848533828,8471.81349606214,2.2085036555732,"L2/3 IT","Ex"
191,12679.1064829462,6915.30877341756,-3.43488503869006,"Vip","Inh"
192,11525.37295371,16624.3008249793,2.61465843639485,"Pvalb","Inh"
194,5292.54370906443,14149.8970759753,3.33346442719586,"L6 PT","Ex"
195,4794.97022608898,13080.6816139089,-0.249080261125425,"L6b","Ex"
197,10262.6264836534,17564.7487250539,-0.247544194428652,"L2/3 IT","Ex"
199,12382.9334912271,5328.47610756316,2.15817149465138,"L6 IT","Ex"
201,11959.8201562415,16491.2803154761,-2.58608368300769,"L2/3 IT","Ex"
204,6695.76178008641,11671.2133146703,1.76029222319278,"L6 PT","Ex"
207,10912.0586889119,5757.09352554149,2.88168747179152,"L6 PT","Ex"
208,10582.1890848155,12529.3450051711,-2.34254985466759,"L5 NP","Ex"
210,14393.0891901026,15028.4124106139,1.48379812854497,"L2/3 IT","Ex"
211,12825.4039460603,12912.374635557,-0.456320323203991,"L2/3 IT","Ex"
212,12334.9392595801,8477.89593447182,4.45632367765826,"L5 PT","Ex"
213,5418.31708088132,15483.4299843101,2.39330759229458,"L6 IT","Ex"
218,11323.1181122056,13519.5400399429,-3.10154425863475,"L6 IT","Ex"
221,3338.85209113426,15361.3541143804,-1.67481390286556,"L6b","Ex"
222,11976.7096749528,10973.3139722605,0.337774692761152,"Pvalb","Inh"
223,9170.40856076906,14509.9281359339,0.974922555239861,"L5 IT","Ex"
225,8167.02905628391,10845.8197578999,4.62127912436231,"Pvalb","Inh"
227,17024.213470542,8273.21220655363,-0.790502925394078,"L2/3 IT","Ex"
228,9582.11464018147,18450.8835363714,2.20714085561776,"L2/3 IT","Ex"
230,14579.1902954746,14857.9071142223,3.51332234567106,"L2/3 IT","Ex"
232,13494.7273342773,12787.6990861988,-0.439443687643306,"L2/3 IT","Ex"
233,7165.68143998064,16503.4978465541,4.63060282639631,"L5 PT","Ex"
234,6030.36321332721,12218.4656112512,3.74816240177084,"L6 PT","Ex"
236,4180.4773493314,15182.5269575043,1.40106780475086,"L6 PT","Ex"
242,9747.02468443643,16360.2827690786,-0.429565486808641,"L2/3 IT","Ex"
243,16954.778377233,10760.2049163158,4.35393427569332,"L2/3 IT","Ex"
244,6561.16652793093,14231.3366834139,4.23749970394659,"L6 PT","Ex"
245,6540.38106464545,4550.71114189855,0.686093423412552,"L5 PT","Ex"
246,11755.4911851786,11001.9783995383,4.45095683419921,"L5 PT","Ex"
247,7338.15399645336,12157.8141026081,2.44992818226371,"L6 PT","Ex"
248,14656.7337026192,14135.6043597128,4.83326337642943,"Vip","Inh"
249,9013.96407988905,7966.75289160291,0.770792333610731,"L6 PT","Ex"
251,10367.7374792384,10753.6808701378,2.61826694197936,"Sst","Inh"
252,14234.0377845964,12503.7835269171,0.979756228621464,"L2/3 IT","Ex"
253,11702.0108819457,13910.8553668158,-1.88302690769156,"L6 PT","Ex"
